RA|APP|A1302422|1330236|4828592|AM||I|G|03/26/2025|03/26/2025|03/26/2025|||03/26/2025|A||Evelyn||Radowicz||Program Management Director|Y|254 Bluffs Terrace|Colonial Heights|VA|51570|23834|57.9|8.8|60.7|69.5|MTOWER|03/25/2025|2022-AEA-12236-OE||1|NONE|1||||03/26/2025||||||
RA|APP|A1310851|1236089|4831160|MD|AU|I|G|03/27/2025|03/27/2025|03/27/2025|10/14/2003||03/27/2025|A||John||Kafka||Division Head - Communications Support|Y|71.4 m (223 ft) NE intersection Briggs & School House Road|Jacobstown|NJ|34005|08562|53.3|53.3|53.3|106.6|LTOWER|03/20/2025|2025-AEA-1761-OE||1|NONE|1|||N|03/27/2025||||||
RA|APP|A1310375||4831316|AM||I|P|03/24/2025|03/24/2025||||03/24/2025|C||Sherri||Fox||Regulatory Manager|Y|2559 Plantation Center Drive|Charlotte|NC|37119|28270|59.4|83.2|60.6|143.8|MTOWER||||||1||||03/24/2025||||||
RA|APP|A1310561||4831325|NE||I|P|03/24/2025|03/24/2025||||03/24/2025|C||Sherri||Fox||Regulatory Manager|Y|US 280|Opelika|AL|01081|36830|79.2|197.2|82.2|279.4|LTOWER||||||7||||03/24/2025||||||
RA|APP|A1306746|1330222|4831335|AM||I|G|03/24/2025|03/24/2025|03/25/2025|||03/25/2025|A||Sam||Humeniuk||Vice President|Y|6800 West Price Alley Drive|Rogers|AR|05007|72758|42.7|379.2|45.7|424.9|MTOWER|12/16/2024|2024-ASW-16972-OE||1|NONE|1||||03/24/2025||||||
RA|APP|A1310571|1231569|4831344|NT|MD|I|G|03/24/2025|03/24/2025|03/24/2025|01/28/2002||03/24/2025|A||Edward|G|Roach||VP|Y|Daugherty Run Road (PA07127-B)|Warren|PA|42123|16365|76.2|582.5|77.4|659.9|LTOWER|02/27/2025|2025-AEA-1694-OE|70/7460-1K|1|4, 8, 12|7|||N|03/24/2025||||||
RA|APP|A1310589|1206868|4831366|MD|AU|I|G|03/24/2025|03/24/2025|03/24/2025|01/07/2000||03/24/2025|A||Edward|G|Roach||VP|Y|190 Holcomb Rd. (TX21408-A)|Lufkin|TX|48005|75904|73.2|118.0|75.0|193.0|LTOWER|02/27/2025|2025-ASW-1595-OE|70/7460-1J|1|4, 6, 13|5|||N|03/24/2025||||||
RA|APP|A1310594|1210470|4831373|NT|MD|I|G|03/24/2025|03/24/2025|03/24/2025|06/22/2001||03/24/2025|A||Edward|G|Roach||VP|Y|7305 Campbellton Redwine Road (GA02499-S)|Chattahoochee Hills|GA|13121|30268|60.4|283.5|61.0|344.5|MTOWER|03/10/2025|2025-ASO-1979-OE||1|NONE|1|||N|03/24/2025||||||
RA|APP|A1306924|1330212|4831394|AM||I|G|03/24/2025|03/24/2025|03/24/2025|||03/24/2025|A||Stephen|B|McFarlin||Environmental Consultant|Y|853 Ranch Rd. 3130|Sonora|TX|48435|76950|94.8|705.3|94.8|800.1|LTOWER|11/07/2024|2024-ASW-13496-OE|70/7460-1M|1|4, 8, 15|7||||03/24/2025||||||
RA|APP|A1310616|1328326|4831413|NT|AM|I|G|03/24/2025|03/24/2025|03/24/2025|03/21/2025||03/24/2025|A||Paul||Buschini||Director of Operations|Y|250 E Platte Avenue|Byron|WY|56003|82412|59.4|1224.7|59.4|1284.1|LTOWER|02/06/2024|2024-ANM-772-OE|70/7460-1M|1|4, 8, 15|7||||03/24/2025||||||
